,Year,Obesity Rate,Max,Min,Continent
0,2021,39.13,63.65,20.86,Asia
1,2020,39.37,64.19,20.91,Asia
2,2019,39.45,63.8,20.91,Asia
3,2018,39.23,63.66,20.9,Asia
4,2017,38.97,62.35,21.38,Asia
5,2016,38.76,61.41,21.42,Asia
6,2021,76.81,128.79,31.95,Europa
7,2020,74.97,125.9,31.52,Europa
8,2019,74.23,123.67,31.39,Europa
9,2018,72.49,121.38,30.99,Europa
10,2017,71.08,120.35,30.5,Europa
11,2016,68.06,115.58,28.51,Europa
12,2021,99.29,162.54,45.67,Europa
13,2020,100.26,163.5,46.08,Europa
14,2019,98.99,161.77,45.46,Europa
15,2018,100.31,162.58,46.78,Europa
16,2017,100.31,161.32,47.34,Europa
17,2016,100.91,162.19,48.08,Europa
18,2021,50.81,88.81,22.85,Europa
19,2020,49.26,85.37,22.14,Europa
20,2019,56.51,95.85,25.76,Europa
21,2018,56.39,95.3,26.0,Europa
22,2017,55.61,93.96,25.68,Europa
23,2016,54.18,90.81,24.98,Europa
24,2021,20.99,33.62,11.81,África
25,2020,20.48,32.57,11.68,África
26,2019,19.77,30.86,11.25,África
27,2018,19.06,29.45,10.9,África
28,2017,18.43,28.73,10.79,África
29,2016,17.78,27.61,10.47,África
30,2021,106.38,152.22,65.66,América
31,2020,100.56,144.83,61.9,América
32,2019,107.29,154.74,65.99,América
33,2018,102.51,148.87,64.64,América
34,2017,98.85,143.22,63.18,América
35,2016,94.85,137.52,58.38,América
36,2021,73.1,107.26,40.98,Asia
37,2020,70.63,103.0,39.28,Asia
38,2019,68.37,100.05,39.1,Asia
39,2018,66.16,96.88,38.62,Asia
40,2017,64.25,92.8,37.48,Asia
41,2016,62.57,90.07,36.71,Asia
42,2021,60.08,90.95,33.18,África
43,2020,58.61,87.89,33.06,África
44,2019,57.17,84.98,32.22,África
45,2018,54.88,81.45,30.8,África
46,2017,52.13,77.24,29.26,África
47,2016,50.25,74.19,28.76,África
48,2021,67.47,101.64,35.75,América
49,2020,71.66,108.27,38.65,América
50,2019,73.16,110.41,39.56,América
51,2018,72.83,109.99,39.23,América
52,2017,73.17,110.23,39.36,América
53,2016,74.98,112.51,40.15,América
54,2021,92.45,145.07,43.53,Asia
55,2020,94.18,147.96,45.87,Asia
56,2019,92.1,142.48,44.11,Asia
57,2018,93.72,144.81,45.65,Asia
58,2017,96.75,148.54,48.44,Asia
59,2016,99.62,153.33,48.87,Asia
60,2021,58.18,96.11,21.27,Oceanía
61,2020,55.23,91.7,20.06,Oceanía
62,2019,57.31,95.39,21.03,Oceanía
63,2018,55.55,92.71,20.25,Oceanía
64,2017,56.0,93.33,20.9,Oceanía
65,2016,56.19,93.76,21.15,Oceanía
66,2021,81.58,130.27,39.08,Europa
67,2020,86.16,135.98,42.02,Europa
68,2019,84.84,133.53,41.89,Europa
69,2018,87.03,136.77,42.68,Europa
70,2017,86.16,134.73,42.28,Europa
71,2016,87.84,136.29,43.77,Europa
72,2021,70.89,115.43,33.86,Asia
73,2020,71.64,111.96,33.92,Asia
74,2019,72.65,111.19,34.9,Asia
75,2018,72.49,110.53,34.78,Asia
76,2017,74.86,115.25,35.27,Asia
77,2016,73.11,111.54,34.74,Asia
78,2021,103.56,148.37,65.53,América
79,2020,102.05,144.21,63.81,América
80,2019,100.73,141.14,63.94,América
81,2018,98.13,136.58,63.27,América
82,2017,95.92,131.25,63.22,América
83,2016,94.83,129.19,62.85,América
84,2021,17.22,28.67,8.15,Asia
85,2020,16.58,27.32,7.87,Asia
86,2019,15.88,26.07,7.86,Asia
87,2018,15.15,24.82,7.51,Asia
88,2017,14.41,23.3,7.07,Asia
89,2016,13.39,21.68,6.67,Asia
90,2021,146.13,228.46,71.28,América
91,2020,145.08,224.31,70.74,América
92,2019,148.1,229.34,74.59,América
93,2018,140.49,218.01,72.16,América
94,2017,135.13,207.68,69.79,América
95,2016,130.9,199.31,67.52,América
96,2021,62.17,91.71,31.77,Asia
97,2020,57.91,84.41,29.82,Asia
98,2019,54.07,78.0,27.57,Asia
99,2018,50.89,73.38,25.81,Asia
100,2017,49.13,70.79,24.93,Asia
101,2016,47.33,68.25,24.37,Asia
102,2021,53.31,90.25,19.63,Europa
103,2020,55.31,94.55,20.93,Europa
104,2019,55.73,94.74,20.7,Europa
105,2018,55.88,94.49,20.59,Europa
106,2017,55.81,93.82,20.58,Europa
107,2016,56.11,93.46,20.88,Europa
108,2021,62.44,88.13,35.54,América
109,2020,61.41,85.16,35.87,América
110,2019,62.85,87.47,36.57,América
111,2018,61.93,85.39,36.28,América
112,2017,59.68,81.67,35.4,América
113,2016,57.9,79.79,34.31,América
114,2021,18.74,29.73,10.32,África
115,2020,18.65,29.74,10.33,África
116,2019,18.22,28.96,10.29,África
117,2018,17.93,28.34,10.07,África
118,2017,18.03,27.92,9.98,África
119,2016,17.95,27.88,10.05,África
120,2021,134.69,235.55,46.11,Europa
121,2020,134.16,231.5,46.43,Europa
122,2019,132.22,225.05,47.48,Europa
123,2018,127.74,217.6,46.21,Europa
124,2017,123.38,210.97,44.33,Europa
125,2016,122.77,208.93,44.19,Europa
126,2021,35.13,55.67,18.39,Asia
127,2020,34.33,53.64,18.25,Asia
128,2019,33.45,52.12,17.83,Asia
129,2018,32.63,50.42,17.69,Asia
130,2017,31.88,48.99,17.42,Asia
131,2016,31.23,47.82,16.89,Asia
132,2021,52.94,84.34,25.84,América
133,2020,53.23,85.24,26.12,América
134,2019,52.79,83.92,26.51,América
135,2018,51.44,81.38,26.31,América
136,2017,50.15,79.16,25.39,América
137,2016,49.04,76.17,24.74,América
138,2021,122.4,194.49,53.25,Europa
139,2020,128.46,203.67,57.02,Europa
140,2019,125.55,200.12,56.15,Europa
141,2018,119.58,190.3,53.13,Europa
142,2017,117.36,184.37,52.72,Europa
143,2016,114.41,179.11,51.69,Europa
144,2021,48.68,72.41,25.39,África
145,2020,48.15,71.69,25.5,África
146,2019,46.6,69.95,24.93,África
147,2018,45.5,69.58,24.6,África
148,2017,45.38,70.03,25.29,África
149,2016,46.59,70.75,25.58,África
150,2021,59.71,90.42,28.98,América
151,2020,59.86,90.44,29.98,América
152,2019,57.73,87.52,28.59,América
153,2018,56.11,84.96,27.75,América
154,2017,55.12,83.41,27.4,América
155,2016,54.53,82.73,27.0,América
156,2021,35.93,54.66,17.64,Asia
157,2020,35.36,54.78,17.21,Asia
158,2019,34.92,53.19,17.31,Asia
159,2018,34.43,52.97,17.09,Asia
160,2017,33.8,51.92,16.83,Asia
161,2016,33.22,50.86,16.56,Asia
162,2021,275.95,398.17,172.36,Europa
163,2020,281.7,394.33,177.09,Europa
164,2019,273.48,384.9,173.14,Europa
165,2018,274.3,384.93,173.52,Europa
166,2017,272.96,383.6,174.55,Europa
167,2016,271.73,384.34,174.48,Europa
168,2021,12.02,18.49,7.52,África
169,2020,12.05,18.24,7.51,África
170,2019,12.11,18.37,7.61,África
171,2018,12.12,18.17,7.55,África
172,2017,12.19,18.32,7.54,África
173,2016,12.06,18.27,7.43,África
174,2021,10.45,16.65,5.85,África
175,2020,10.19,16.35,5.73,África
176,2019,10.0,15.84,5.68,África
177,2018,9.83,15.42,5.58,África
178,2017,9.64,14.89,5.51,África
179,2016,9.36,14.3,5.35,África
180,2021,31.8,53.69,16.4,Asia
181,2020,30.8,52.24,15.99,Asia
182,2019,29.68,49.23,15.23,Asia
183,2018,28.67,47.45,14.86,Asia
184,2017,27.71,45.66,14.33,Asia
185,2016,26.88,44.08,13.84,Asia
186,2021,44.26,72.2,23.26,África
187,2020,43.49,69.69,23.07,África
188,2019,42.55,68.13,22.5,África
189,2018,41.75,66.14,22.12,África
190,2017,36.82,59.51,19.59,África
191,2016,35.45,56.51,18.63,África
192,2021,19.32,29.96,10.88,Asia
193,2020,18.75,29.1,10.45,Asia
194,2019,18.14,28.14,10.19,Asia
195,2018,17.55,27.2,9.95,Asia
196,2017,16.93,26.23,9.83,Asia
197,2016,16.32,25.24,9.48,Asia
198,2021,36.5,57.55,19.2,África
199,2020,36.62,57.85,18.97,África
200,2019,36.54,56.84,18.87,África
201,2018,36.35,57.33,18.52,África
202,2017,36.15,57.1,18.28,África
203,2016,36.25,56.92,18.07,África
204,2021,59.04,95.94,23.37,América
205,2020,59.6,96.43,23.45,América
206,2019,60.66,97.73,24.13,América
207,2018,59.91,96.46,23.62,América
208,2017,58.97,95.33,23.05,América
209,2016,57.58,93.11,22.31,América
210,2021,24.24,37.09,12.07,Asia
211,2020,23.5,36.16,11.88,Asia
212,2019,23.86,36.51,12.14,Asia
213,2018,23.88,36.53,12.08,Asia
214,2017,23.76,35.74,12.17,Asia
