Country,Year,Life Expectancy F,Life Expectancy M,Total Life Expectancy
afganistan,2021,"65,28","58,92","61,98"
afganistan,2020,"65,43","59,87","62,58"
afganistan,2019,"66,68","60,62","63,57"
afganistan,2018,"66,46","59,92","63,08"
afganistan,2017,"66,10","60,11","63,02"
afganistan,2016,"65,10","61,19","63,14"
albania,2021,"77,70","73,60","75,50"
albania,2020,"79,60","75,20","77,40"
albania,2019,"80,70","77,60","79,10"
albania,2018,"80,50","77,40","78,90"
albania,2017,"80,10","77,10","78,50"
albania,2016,"80,10","77,10","78,50"
alemania,2021,"83,30","78,40","80,80"
alemania,2020,"83,50","78,70","81,10"
alemania,2019,"83,70","79,00","81,30"
alemania,2018,"83,30","78,60","81,00"
alemania,2017,"83,40","78,70","81,10"
alemania,2016,"83,50","78,60","81,00"
andorra,2021,"86,00","81,30","83,70"
andorra,2020,"85,70","79,40","82,50"
andorra,2019,"86,90","81,10","84,10"
andorra,2018,"85,30","81,20","83,30"
andorra,2017,"86,30","80,80","83,60"
andorra,2016,"85,60","81,20","83,40"
angola,2021,"64,31","59,03","61,64"
angola,2020,"64,98","59,58","62,26"
angola,2019,"64,92","59,98","62,45"
angola,2018,"64,72","59,58","62,14"
angola,2017,"64,02","59,33","61,68"
angola,2016,"63,43","58,74","61,09"
antigua-barbuda,2021,"80,94","75,78","78,50"
antigua-barbuda,2020,"81,32","76,06","78,84"
antigua-barbuda,2019,"81,17","75,91","78,69"
antigua-barbuda,2018,"81,00","75,72","78,51"
antigua-barbuda,2017,"80,72","75,52","78,27"
antigua-barbuda,2016,"80,65","75,37","78,15"
arabia-saudita,2021,"78,77","75,59","76,94"
arabia-saudita,2020,"77,99","74,97","76,24"
arabia-saudita,2019,"78,91","76,07","77,30"
arabia-saudita,2018,"78,91","75,92","77,21"
arabia-saudita,2017,"78,80","75,92","77,16"
arabia-saudita,2016,"78,72","75,86","77,06"
argelia,2021,"77,96","74,88","76,38"
argelia,2020,"75,91","73,08","74,45"
argelia,2019,"77,76","75,24","76,47"
argelia,2018,"77,21","74,97","76,07"
argelia,2017,"76,82","74,70","75,74"
argelia,2016,"76,80","74,69","75,73"
argentina,2021,"78,65","72,18","75,39"
argentina,2020,"79,29","72,55","75,89"
argentina,2019,"80,68","73,86","77,28"
argentina,2018,"80,33","73,63","77,00"
argentina,2017,"80,09","73,53","76,83"
argentina,2016,"79,67","72,93","76,31"
armenia,2021,"77,35","66,55","72,04"
armenia,2020,"77,00","67,05","72,17"
armenia,2019,"79,70","73,10","76,60"
armenia,2018,"79,70","73,40","76,70"
armenia,2017,"78,90","72,50","75,80"
armenia,2016,"78,40","71,50","75,10"
australia,2021,"85,40","81,30","83,30"
australia,2020,"85,30","81,20","83,20"
australia,2019,"85,00","80,90","82,90"
australia,2018,"84,90","80,70","82,75"
australia,2017,"84,60","80,50","82,50"
australia,2016,"84,60","80,40","82,45"
austria,2021,"83,70","78,80","81,30"
austria,2020,"83,60","78,90","81,30"
austria,2019,"84,20","79,70","82,00"
austria,2018,"84,10","79,40","81,80"
austria,2017,"84,00","79,40","81,70"
austria,2016,"84,10","79,30","81,80"
azerbaiyan,2021,"73,29","65,65","69,37"
azerbaiyan,2020,"71,00","62,99","66,87"
azerbaiyan,2019,"78,90","74,30","76,60"
azerbaiyan,2018,"78,30","73,50","76,00"
azerbaiyan,2017,"77,90","73,20","75,60"
azerbaiyan,2016,"75,59","68,41","72,00"
bahamas,2021,"75,10","68,12","71,60"
bahamas,2020,"76,27","69,10","72,68"
bahamas,2019,"73,83","68,45","71,21"
bahamas,2018,"77,32","70,23","73,81"
bahamas,2017,"77,17","70,04","73,63"
bahamas,2016,"76,94","70,07","73,54"
banglades,2021,"74,27","70,60","72,38"
banglades,2020,"73,96","70,19","71,97"
banglades,2019,"75,09","70,71","72,81"
banglades,2018,"74,35","70,89","72,57"
banglades,2017,"73,95","69,82","71,79"
banglades,2016,"73,33","69,09","71,09"
barbados,2021,"79,36","75,63","77,57"
barbados,2020,"79,21","75,42","77,39"
barbados,2019,"79,12","75,23","77,26"
barbados,2018,"78,96","75,01","77,07"
barbados,2017,"78,84","74,86","76,94"
barbados,2016,"78,72","74,74","76,82"
barein,2021,"80,02","77,76","78,76"
barein,2020,"80,43","78,17","79,17"
barein,2019,"81,32","78,98","80,02"
barein,2018,"81,20","78,82","79,86"
barein,2017,"81,12","78,61","79,69"
barein,2016,"81,03","78,46","79,56"
belgica,2021,"84,30","79,40","81,90"
belgica,2020,"83,00","78,50","80,80"
belgica,2019,"84,30","79,80","82,10"
belgica,2018,"83,90","79,40","81,70"
belgica,2017,"83,90","79,20","81,60"
belgica,2016,"84,00","79,00","81,50"
belice,2021,"74,33","67,12","70,47"
belice,2020,"76,63","69,56","72,85"
belice,2019,"77,25","71,06","73,93"
belice,2018,"77,02","70,84","73,70"
belice,2017,"76,85","70,73","73,56"
belice,2016,"76,67","70,58","73,40"
benin,2021,"61,45","58,22","59,82"
benin,2020,"61,49","58,69","60,09"
benin,2019,"61,86","59,05","60,45"
benin,2018,"61,35","58,92","60,14"
benin,2017,"61,20","58,51","59,86"
benin,2016,"60,73","58,33","59,54"
bielorrusia,2021,"77,70","67,30","72,37"
bielorrusia,2020,"77,87","67,31","72,46"
bielorrusia,2019,"79,40","69,30","74,23"
bielorrusia,2018,"79,50","69,30","74,50"
bielorrusia,2017,"79,30","69,30","74,50"
bielorrusia,2016,"79,20","69,00","74,20"
birmania,2021,"69,00","62,55","65,67"
birmania,2020,"69,96","63,79","66,80"
birmania,2019,"69,80","63,57","66,61"
birmania,2018,"69,68","63,41","66,47"
birmania,2017,"69,00","62,84","65,84"
birmania,2016,"68,84","62,68","65,69"
bolivia,2021,"66,80","60,88","63,63"
bolivia,2020,"67,84","61,56","64,47"
bolivia,2019,"70,48","65,37","67,84"
bolivia,2018,"70,38","65,28","67,75"
bolivia,2017,"70,35","65,23","67,70"
bolivia,2016,"70,26","65,17","67,63"
bosnia-herzegovina,2021,"77,53","73,11","75,30"
bosnia-herzegovina,2020,"78,41","74,04","76,23"
bosnia-herzegovina,2019,"79,22","75,21","77,24"
bosnia-herzegovina,2018,"79,09","75,03","77,09"
bosnia-herzegovina,2017,"78,96","74,85","76,94"
bosnia-herzegovina,2016,"78,77","74,78","76,81"
botsuana,2021,"63,59","58,69","61,14"
botsuana,2020,"68,05","63,14","65,65"
botsuana,2019,"67,89","62,93","65,46"
botsuana,2018,"67,37","63,34","65,42"
botsuana,2017,"69,43","63,97","66,75"
botsuana,2016,"68,06","62,77","65,46"
brasil,2021,"76,01","69,56","72,75"
brasil,2020,"77,38","70,70","74,01"
brasil,2019,"78,47","72,20","75,34"
brasil,2018,"78,27","71,96","75,11"
brasil,2017,"78,03","71,64","74,83"
brasil,2016,"77,85","71,09","74,44"
brunei,2021,"76,88","72,60","74,64"
brunei,2020,"77,03","72,75","74,80"
brunei,2019,"76,99","72,71","74,75"
brunei,2018,"76,96","72,67","74,71"
brunei,2017,"76,96","72,69","74,72"
brunei,2016,"76,98","72,70","74,73"
bulgaria,2021,"75,10","68,00","71,40"
bulgaria,2020,"77,50","70,00","73,60"
bulgaria,2019,"78,80","71,60","75,10"
bulgaria,2018,"78,60","71,50","75,00"
bulgaria,2017,"78,40","71,40","74,80"
bulgaria,2016,"78,50","71,30","74,90"
burkina-faso,2021,"60,99","57,47","59,27"
burkina-faso,2020,"61,60","57,79","59,73"
burkina-faso,2019,"61,82","58,17","60,04"
burkina-faso,2018,"61,71","58,29","60,05"
burkina-faso,2017,"61,18","57,80","59,54"
burkina-faso,2016,"60,93","57,62","59,33"
burundi,2021,"63,61","59,71","61,66"
burundi,2020,"63,68","59,47","61,57"
burundi,2019,"64,35","60,34","62,35"
burundi,2018,"63,52","59,82","61,69"
burundi,2017,"63,30","59,76","61,55"
burundi,2016,"62,46","59,09","60,79"
butan,2021,"73,77","70,14","71,82"
butan,2020,"73,54","69,97","71,61"
butan,2019,"73,24","69,81","71,39"
butan,2018,"72,91","69,60","71,13"
butan,2017,"72,58","69,37","70,85"
butan,2016,"72,32","69,14","70,60"
cabo-verde,2021,"78,46","69,59","74,05"
cabo-verde,2020,"79,16","70,33","74,81"
cabo-verde,2019,"80,18","71,57","76,00"
cabo-verde,2018,"79,88","71,34","75,73"
cabo-verde,2017,"80,69","72,18","76,59"
cabo-verde,2016,"80,02","71,24","75,74"
camboya,2021,"72,29","66,82","69,58"
camboya,2020,"72,72","68,00","70,42"
camboya,2019,"72,87","68,40","70,69"
camboya,2018,"72,78","68,23","70,56"
camboya,2017,"72,69","68,21","70,52"
camboya,2016,"72,67","67,66","70,22"
camerun,2021,"62,02","58,69","60,33"
camerun,2020,"62,63","59,08","60,83"
camerun,2019,"63,00","60,19","61,58"
camerun,2018,"62,78","59,60","61,18"
camerun,2017,"62,16","59,47","60,81"
camerun,2016,"61,60","58,88","60,23"
canada,2021,"84,02","79,27","81,59"
canada,2020,"83,95","79,48","81,66"
canada,2019,"84,37","80,18","82,22"
canada,2018,"83,99","79,80","81,84"
canada,2017,"84,02","79,75","81,83"
canada,2016,"84,03","79,92","81,92"
catar,2021,"80,94","78,31","79,27"
catar,2020,"80,68","78,23","79,10"
catar,2019,"82,65","80,06","80,99"
catar,2018,"82,46","80,03","80,90"
catar,2017,"82,31","79,85","80,72"
catar,2016,"82,06","79,58","80,43"
chad,2021,"54,28","50,85","52,53"
chad,2020,"54,40","51,22","52,78"
chad,2019,"54,91","51,66","53,26"
chad,2018,"54,32","51,37","52,83"
chad,2017,"53,75","50,90","52,31"
chad,2016,"53,32","50,87","52,08"
chile,2021,"81,44","76,47","78,94"
chile,2020,"82,04","76,75","79,38"
chile,2019,"82,71","77,89","80,33"
chile,2018,"82,53","77,68","80,13"
chile,2017,"82,60","78,02","80,35"
chile,2016,"82,57","77,50","80,08"
china,2021,"81,16","75,46","78,21"
china,2020,"81,06","75,31","78,08"
china,2019,"80,82","75,30","77,97"
china,2018,"80,64","75,05","77,74"
china,2017,"80,32","74,43","77,25"
china,2016,"80,05","74,58","77,22"
chipre,2021,"83,40","79,20","81,30"
chipre,2020,"84,40","80,40","82,40"
chipre,2019,"84,40","80,30","82,30"
chipre,2018,"84,80","80,90","82,90"
chipre,2017,"84,20","80,20","82,20"
chipre,2016,"84,90","80,50","82,70"
colombia,2021,"76,44","69,40","72,83"
colombia,2020,"78,14","71,54","74,77"
colombia,2019,"79,72","73,80","76,75"
colombia,2018,"79,66","73,84","76,75"
colombia,2017,"79,54","73,76","76,65"
colombia,2016,"79,44","73,52","76,47"
comoras,2021,"65,83","61,25","63,42"
comoras,2020,"66,59","61,98","64,17"
comoras,2019,"66,31","62,01","64,07"
comoras,2018,"66,20","61,81","63,91"
comoras,2017,"65,99","61,46","63,63"
comoras,2016,"65,34","61,29","63,24"
congo,2021,"64,94","62,12","63,52"
congo,2020,"65,40","62,21","63,79"
congo,2019,"64,17","61,35","62,75"
congo,2018,"65,27","62,83","64,05"
congo,2017,"65,14","62,39","63,76"
congo,2016,"64,98","62,19","63,58"
corea-del-norte,2021,"75,74","70,83","73,28"
corea-del-norte,2020,"75,73","70,79","73,27"
corea-del-norte,2019,"75,70","70,63","73,20"
corea-del-norte,2018,"75,63","70,31","73,03"
corea-del-norte,2017,"75,62","70,15","72,98"
corea-del-norte,2016,"75,51","69,85","72,81"
corea-del-sur,2021,"86,60","80,60","83,60"
corea-del-sur,2020,"86,50","80,50","83,50"
corea-del-sur,2019,"86,30","80,30","83,30"
corea-del-sur,2018,"85,70","79,70","82,70"
corea-del-sur,2017,"85,70","79,70","82,70"
corea-del-sur,2016,"85,40","79,30","82,40"
costa-marfil,2021,"59,94","57,40","58,60"
costa-marfil,2020,"60,35","57,86","59,03"
costa-marfil,2019,"60,59","58,16","59,32"
costa-marfil,2018,"59,94","57,85","58,85"
costa-marfil,2017,"59,72","57,35","58,48"
costa-marfil,2016,"59,07","57,13","58,06"
costa-rica,2021,"79,81","74,42","77,02"
costa-rica,2020,"81,91","76,75","79,28"
costa-rica,2019,"81,95","77,00","79,43"
costa-rica,2018,"82,08","77,00","79,48"
costa-rica,2017,"81,76","77,07","79,38"
costa-rica,2016,"82,01","77,01","79,46"
croacia,2021,"79,70","73,50","76,60"
croacia,2020,"80,70","74,50","77,60"
croacia,2019,"81,60","75,50","78,60"
croacia,2018,"81,50","74,90","78,20"
croacia,2017,"81,00","74,90","78,00"
croacia,2016,"81,30","75,00","78,20"
cuba,2021,"76,36","71,25","73,68"
cuba,2020,"80,23","75,04","77,57"
cuba,2019,"80,08","75,24","77,61"
cuba,2018,"80,05","75,07","77,50"
cuba,2017,"80,07","75,12","77,53"
cuba,2016,"80,11","75,30","77,64"
dinamarca,2021,"83,30","79,60","81,50"
dinamarca,2020,"83,60","79,70","81,60"
dinamarca,2019,"83,50","79,50","81,50"
dinamarca,2018,"82,90","79,10","81,00"
dinamarca,2017,"83,10","79,20","81,10"
dinamarca,2016,"82,80","79,00","80,90"
dominica,2021,"76,30","69,73","72,81"
dominica,2020,"77,26","70,43","73,65"
dominica,2019,"77,21","70,36","73,56"
dominica,2018,"77,25","70,41","73,59"
dominica,2017,"69,65","65,60","67,53"
